course,semester,academic_year,paper_code,paper_name,paper_url,pdf_url,structured_path,unstructured_path,status,downloaded_at
BARCH,4,2018-19,RAR402,construction and material 4,https://www.aktuonline.com/papers/barch-4-sem-construction-and-material-4-rar402-2019.html,https://www.aktuonline.com/papers/barch-4-sem-construction-and-material-4-rar402-2019.pdf,,corpus/aktuonline3/barch-4-sem-construction-and-material-4-rar402-2019.pdf,OK,2026-09-20T15:42:59+00:00
BARCH,4,2017-18,AR402,construction and materials 4,https://www.aktuonline.com/papers/barch-4-sem-construction-and-materials-4-ar-402-2018.html,https://www.aktuonline.com/papers/barch-4-sem-construction-and-materials-4-ar-402-2018.pdf,,corpus/aktuonline3/barch-4-sem-construction-and-materials-4-ar-402-2018.pdf,OK,2026-09-20T15:43:02+00:00
BARCH,4,2018-19,AR402,construction and materials 4,https://www.aktuonline.com/papers/barch-4-sem-construction-and-materials-4-ar402-2019.html,https://www.aktuonline.com/papers/barch-4-sem-construction-and-materials-4-ar402-2019.pdf,,corpus/aktuonline3/barch-4-sem-construction-and-materials-4-ar402-2019.pdf,OK,2026-09-20T15:43:06+00:00
BARCH,4,2014-15,NAR402,constructions and material,https://www.aktuonline.com/papers/barch-4-sem-constructions-and-material-nar402-2015.html,https://www.aktuonline.com/papers/barch-4-sem-constructions-and-material-nar402-2015.pdf,,corpus/aktuonline3/barch-4-sem-constructions-and-material-nar402-2015.pdf,OK,2026-09-20T15:43:09+00:00
BARCH,4,2017-18,AR404,history of architecture 2,https://www.aktuonline.com/papers/barch-4-sem-history-of-architecture-2-ar404-2018.html,https://www.aktuonline.com/papers/barch-4-sem-history-of-architecture-2-ar404-2018.pdf,,corpus/aktuonline3/barch-4-sem-history-of-architecture-2-ar404-2018.pdf,OK,2026-09-20T15:43:12+00:00
BARCH,4,2018-19,RAR407,history of architecture 3,https://www.aktuonline.com/papers/barch-4-sem-history-of-architecture-3-rar407-2019.html,https://www.aktuonline.com/papers/barch-4-sem-history-of-architecture-3-rar407-2019.pdf,,corpus/aktuonline3/barch-4-sem-history-of-architecture-3-rar407-2019.pdf,OK,2026-09-20T15:43:16+00:00
BARCH,5,2020-21,NAR501,architectural design 5,https://www.aktuonline.com/papers/barch-5-sem-architectural-design-5-nar501-2021.html,https://www.aktuonline.com/papers/barch-5-sem-architectural-design-5-nar501-2021.pdf,,corpus/aktuonline3/barch-5-sem-architectural-design-5-nar501-2021.pdf,OK,2026-09-20T15:43:19+00:00
BARCH,5,2014-15,AR503,architectural structure 5,https://www.aktuonline.com/papers/barch-5-sem-architectural-structure-5-ar-503-2015.html,https://www.aktuonline.com/papers/barch-5-sem-architectural-structure-5-ar-503-2015.pdf,,corpus/aktuonline3/barch-5-sem-architectural-structure-5-ar-503-2015.pdf,OK,2026-09-20T15:43:23+00:00
BARCH,5,2020-21,RAR503,architectural structure 5,https://www.aktuonline.com/papers/barch-5-sem-architectural-structure-5-rar503-2021.html,https://www.aktuonline.com/papers/barch-5-sem-architectural-structure-5-rar503-2021.pdf,,corpus/aktuonline3/barch-5-sem-architectural-structure-5-rar503-2021.pdf,OK,2026-09-20T15:43:26+00:00
BARCH,5,2018-19,NAR505,estimation and specifications,https://www.aktuonline.com/papers/barch-5-sem-estimation-and-specifications-nar505-2019.html,https://www.aktuonline.com/papers/barch-5-sem-estimation-and-specifications-nar505-2019.pdf,,corpus/aktuonline3/barch-5-sem-estimation-and-specifications-nar505-2019.pdf,OK,2026-09-20T15:43:30+00:00
